V=video Storage, e=externo, -=sin video

- lateral-box-jump                               Salto lateral al cajón
- lateral-leg-raises                             Elevación lateral de pierna
V lateral-lunge                                  Estocada lateral
V lateral-raise                                  Elevaciones laterales
V lateral-raise-band                             Elevación lateral (Banda)
V lateral-raise-cable                            Elevación lateral (Polea)
V lateral-raise-dumbbell                         Elevación lateral (Mancuerna)
V lateral-raise-machine                          Elevación lateral (Máquina)
- lateral-squat                                  Sentadilla lateral
V leg-curl                                       Curl femoral
V leg-extension-machine                          Extensión de cuádriceps (Máquina)
V leg-press-horizontal-machine                   Prensa de piernas horizontal (Máquina)
V leg-press-machine                              Prensa de piernas (Máquina)
- leg-raise-parallel-bars                        Elevación de piernas en paralelas
- low-cable-fly-crossovers                       Cruces bajos en polea
- low-row-suspension                             Remo bajo (TRX)
- lunge-barbell                                  Estocada (Barra)
- lunge-dumbbell                                 Estocada (Mancuerna)
- lying-knee-raise                               Elevación de rodillas tumbado
- lying-leg-curl-machine                         Curl femoral tumbado (Máquina)
- lying-leg-raise                                Elevación de piernas tumbado
- lying-neck-curls-weighted                      Flexión de cuello tumbado (Con peso)
- lying-neck-extension-weighted                  Extensión de cuello tumbado (Con peso)
V meadows-rows-barbell                           Remo Meadows (Barra)
V mountain-climber                               Escalador (Mountain climber)
- muscle-up                                      Muscle up
- negative-pull-up                               Dominada negativa
V nordic-hamstrings-curls                        Curl nórdico de isquiotibiales
V oblique-crunch                                 Crunch oblicuo
- one-arm-push-up                                Flexión a un brazo
- overhead-curl-cable                            Curl por encima de la cabeza (Polea)
- overhead-dumbbell-lunge                        Estocada con mancuerna sobre la cabeza
- overhead-plate-raise                           Elevación de disco sobre la cabeza
V overhead-press-barbell                         Press militar (Barra)
V overhead-press-dumbbell                        Press militar (Mancuerna)
- overhead-press-smith-machine                   Press militar (Multipower)
V overhead-squat                                 Sentadilla sobre la cabeza
V overhead-triceps-extension-cable               Extensión de tríceps sobre la cabeza (Polea)
- partial-glute-bridge-barbell                   Puente de glúteo parcial (Barra)
- pause-squat-barbell                            Sentadilla con pausa (Barra)
- pendlay-row-barbell                            Remo Pendlay (Barra)
V pendulum-squat-machine                         Sentadilla péndulo (Máquina)
V pike-pushup                                    Flexión pike
- pilates                                        Pilates
- pinwheel-curl-dumbbell                         Curl molinete (Mancuerna)
- pistol-squat                                   Sentadilla pistol
V plank                                          Plancha
- plank-pushup                                   Plancha con flexión
- plate-curl                                     Curl con disco
V plate-front-raise                              Elevación frontal con disco
- plate-press                                    Press con disco
- plate-squeeze-svend-press                      Press de disco (Svend Press)
- power-clean                                    Cargada de potencia
V power-snatch                                   Arranque de potencia
- preacher-curl-barbell                          Curl predicador (Barra)
V preacher-curl-dumbbell                         Curl predicador (Mancuerna)
- preacher-curl-machine                          Curl predicador (Máquina)
- press-under                                    Press under
V pull-up                                        Dominadas
V pull-up-assisted                               Dominada (Asistida)
- pull-up-band                                   Dominada (Banda)
- pull-up-weighted                               Dominada (Con peso)
V pullover-dumbbell                              Pullover (Mancuerna)
V pullover-machine                               Pullover (Máquina)
V push-press                                     Push press
- push-up-close-grip                             Flexión agarre cerrado
- push-up-weighted                               Flexión (Con peso)
V rack-pull                                      Rack pull (Peso muerto parcial)
- rear-delt-reverse-fly-cable                    Apertura inversa de deltoides posterior (Polea)
- rear-delt-reverse-fly-dumbbell                 Apertura inversa de deltoides posterior (Mancuerna)
- rear-delt-reverse-fly-machine                  Apertura inversa de deltoides posterior (Máquina)
- rear-kick-machine                              Patada trasera (Máquina)
V renegade-row-dumbbell                          Remo renegado (Mancuerna)
V reverse-crunch                                 Crunch inverso
V reverse-curl-barbell                           Curl inverso (Barra)
V reverse-curl-cable                             Curl inverso (Polea)
V reverse-curl-dumbbell                          Curl inverso (Mancuerna)
- reverse-fly-single-arm-cable                   Apertura inversa a un brazo (Polea)
- reverse-grip-concentration-curl                Curl concentrado agarre inverso
- reverse-grip-lat-pulldown-cable                Jalón al pecho agarre supino (Polea)
V reverse-hyperextension                         Hiperextensión inversa
V reverse-lunge-barbell                          Estocada inversa (Barra)
V reverse-lunge-dumbbell                         Estocada inversa (Mancuerna)
- reverse-plank                                  Plancha inversa
- ring-dips                                      Fondos en anillas
V ring-pull-up                                   Dominada en anillas
- ring-push-up                                   Flexión en anillas
V romanian-deadlift-barbell                      Peso muerto rumano (Barra)
V romanian-deadlift-dumbbell                     Peso muerto rumano (Mancuerna)
- rope-cable-curl                                Curl con cuerda en polea
- rope-straight-arm-pulldown                     Jalón con brazos rectos y cuerda
- rowing-machine                                 Máquina de remo
- running                                        Correr
V russian-twist-bodyweight                       Giro ruso (Peso corporal)
- russian-twist-weighted                         Giro ruso (Con peso)
- scapular-pull-ups                              Dominadas escapulares
- seated-cable-row-bar-grip                      Remo sentado en polea (Agarre de barra)
- seated-cable-row-bar-wide-grip                 Remo sentado en polea (Agarre abierto)
- seated-cable-row-v-grip-cable                  Remo sentado en polea (Agarre en V)
V seated-calf-raise                              Elevación de gemelos sentado
- seated-chest-flys-cable                        Aperturas de pecho sentado (Polea)
- seated-dip-machine                             Fondos en máquina sentado
- seated-incline-curl-dumbbell                   Curl inclinado sentado (Mancuerna)
V seated-lateral-raise-dumbbell                  Elevación lateral sentado (Mancuerna)
V seated-leg-curl-machine                        Curl femoral sentado (Máquina)
- seated-overhead-press-barbell                  Press militar sentado (Barra)
V seated-overhead-press-dumbbell                 Press militar sentado (Mancuerna)
- seated-palms-up-wrist-curl                     Curl de muñeca sentado con palmas arriba
- seated-row-machine                             Remo sentado (Máquina)
- seated-shoulder-press-machine                  Press de hombros sentado (Máquina)
- seated-triceps-press                           Press de tríceps sentado
- seated-wrist-extension-barbell                 Extensión de muñeca sentado (Barra)
- shoulder-press-dumbbell                        Press de hombros (Mancuerna)
- shoulder-press-machine-plates                  Press de hombros (Máquina de discos)
- shoulder-taps                                  Toques de hombro
V shrug-barbell                                  Encogimiento (Barra)
- shrug-cable                                    Encogimiento (Polea)
V shrug-dumbbell                                 Encogimiento (Mancuerna)
V shrug-machine                                  Encogimiento (Máquina)
- shrug-smith-machine                            Encogimiento (Multipower)
V side-bend-dumbbell                             Inclinación lateral (Mancuerna)
- side-plank                                     Plancha lateral
- single-arm-cable-crossover                     Cruce en polea a un brazo
- single-arm-cable-row                           Remo en polea a un brazo
- single-arm-curl-cable                          Curl a un brazo (Polea)
- single-arm-landmine-press-barbell              Press landmine a un brazo (Barra)
- single-arm-lat-pulldown                        Jalón al pecho a un brazo
- single-arm-lateral-raise-cable                 Elevación lateral a un brazo (Polea)
- single-arm-tricep-extension-dumbbell           Extensión de tríceps a un brazo (Mancuerna)
- single-arm-triceps-pushdown-cable              Empuje de tríceps a un brazo (Polea)
- single-leg-extensions                          Extensión de cuádriceps a una pierna
V single-leg-glute-bridge                        Puente de glúteo a una pierna
V single-leg-hip-thrust-dumbbell                 Empuje de cadera a una pierna (Mancuerna)
- single-leg-press-machine                       Prensa a una pierna (Máquina)
- single-leg-romanian-deadlift-barbell           Peso muerto rumano a una pierna (Barra)
- single-leg-romanian-deadlift-dumbbell          Peso muerto rumano a una pierna (Mancuerna)
- single-leg-standing-calf-raise-barbell         Elevación de gemelo de pie a una pierna (Barra)
- single-leg-standing-calf-raise-dumbbell        Elevación de gemelo de pie a una pierna (Mancuerna)
- single-leg-standing-calf-raise-machine         Elevación de gemelo de pie a una pierna (Máquina)
- sissy-squat-weighted                           Sentadilla sissy (Con peso)
- sit-up                                         Abdominal completo (Sit up)
- sit-up-weighted                                Abdominal completo (Con peso)
- skating                                        Patinaje
- skiing                                         Esquí
V skull-crusher                                  Press francés
V skullcrusher-barbell                           Rompecráneos (Barra)
V skullcrusher-dumbbell                          Rompecráneos (Mancuerna)
- sled-push                                      Empuje de trineo
V snatch                                         Arranque
- snowboarding                                   Snowboard
- spider-curl-barbell                            Curl araña (Barra)
V spider-curl-dumbbell                           Curl araña (Mancuerna)
- spiderman                                      Spiderman
- spinning                                       Spinning
V split-jerk                                     Envión en tijera
V split-squat-dumbbell                           Sentadilla dividida (Mancuerna)
- sprints                                        Sprints
V squat-band                                     Sentadilla (Banda)
V squat-barbell                                  Sentadilla (Barra)
V squat-bodyweight                               Sentadilla (Peso corporal)
- squat-dumbbell                                 Sentadilla (Mancuerna)
- squat-machine                                  Sentadilla (Máquina)
- squat-row                                      Sentadilla con remo
- squat-smith-machine                            Sentadilla (Multipower)
V squat-suspension                               Sentadilla (TRX)
- stair-machine-floors                           Escaladora (Pisos)
- stair-machine-steps                            Escaladora (Escalones)
- standing-cable-glute-kickbacks                 Patada de glúteo de pie en polea
- standing-calf-raise-barbell                    Elevación de gemelos de pie (Barra)
- standing-calf-raise-dumbbell                   Elevación de gemelos de pie (Mancuerna)
V standing-calf-raise-machine                    Elevación de gemelos de pie (Máquina)
- standing-calf-raise-smith                      Elevación de gemelos de pie (Multipower)
- standing-leg-curls                             Curl femoral de pie
- standing-military-press-barbell                Press militar de pie (Barra)
- sternum-pull-up-gironda                        Dominada al esternón (Gironda)
- straight-arm-lat-pulldown-cable                Jalón con brazos rectos (Polea)
- straight-leg-deadlift                          Peso muerto con piernas rectas
- stretching                                     Estiramientos
V sumo-deadlift                                  Peso muerto sumo
- sumo-squat-barbell                             Sentadilla sumo (Barra)
V sumo-squat-dumbbell                            Sentadilla sumo (Mancuerna)
- sumo-squat-kettlebell                          Sentadilla sumo (Pesa rusa)
V superman                                       Superman
- swimming                                       Natación
- t-bar-row                                      Remo en T
V thruster-barbell                               Thruster (Barra)
V thruster-kettlebell                            Thruster (Pesa rusa)
- toe-touch                                      Toque de puntas
- toes-to-bar                                    Pies a la barra
- torso-rotation                                 Rotación de torso
- treadmill                                      Cinta de correr
V tricep-pushdown                                Extensión de tríceps en polea
- triceps-dip-assisted                           Fondo de tríceps (Asistido)
- triceps-dip-weighted                           Fondo de tríceps (Con peso)
- triceps-extension-barbell                      Extensión de tríceps (Barra)
