exercise_id,exercise_name,source,confidence,score,recommended_video,drive_file_id,drive_url,folder,matched_variants,reason
reverse-crunch,Crunch inverso,catalog-json,high,1.000,female-Bodyweight-reverse-crunch-side.mp4,1_uYs5bw6Ikdoll9ngftdLjgVjBw0-q7c,https://drive.google.com/file/d/1_uYs5bw6Ikdoll9ngftdLjgVjBw0-q7c/view?usp=drive_web,Bodyweight,4,video_clean:id
reverse-hyperextension,Hiperextensión inversa,catalog-json,high,1.000,female-Machine-machine-reverse-hyperextension-side.mp4,1YfuTiS-5F7BruyinzOy_381byfhFB6DT,https://drive.google.com/file/d/1YfuTiS-5F7BruyinzOy_381byfhFB6DT/view?usp=drive_web,Machine,4,video_clean:id
reverse-lunge,Estocada inversa,catalog-json,high,1.000,female-barbell-reverse-lunge-side.mp4,1cAgG5ch7lCq4F09hE78zqMVrZKxEbTd_,https://drive.google.com/file/d/1cAgG5ch7lCq4F09hE78zqMVrZKxEbTd_/view?usp=drive_web,Barbell,40,video_clean:id
ring-pull-up,Dominada en anillas,catalog-json,high,1.000,female-Bodyweight-ring-pull-up-side.mp4,1SA9jxH0C-v9G8vw7J0MKCxgSF3QReBKj,https://drive.google.com/file/d/1SA9jxH0C-v9G8vw7J0MKCxgSF3QReBKj/view?usp=drive_web,Bodyweight,4,video_clean:id
romanian-deadlift,Peso muerto rumano,seed,high,1.000,female-Barbell-barbell-romanian-deadlift-side.mp4,1-kDIs1CTF8VzLi7T2kJnhWsEsI6Rcizs,https://drive.google.com/file/d/1-kDIs1CTF8VzLi7T2kJnhWsEsI6Rcizs/view?usp=drive_web,Barbell,23,video_clean:id
seated-calf-raise,Elevación de gemelos sentado,catalog-json,high,1.000,female-barbell-seated-calf-raise-side.mp4,1ZM9Fqx_uqrhNVkqscxdnvflOcVblCMi-,https://drive.google.com/file/d/1ZM9Fqx_uqrhNVkqscxdnvflOcVblCMi-/view?usp=drive_web,Barbell,24,video_clean:id
side-bend,Inclinación lateral,catalog-json,high,1.000,female-Band-band-side-bend-side.mp4,1C8-uQDf_PdE334QH0zI6mei-0bWashRI,https://drive.google.com/file/d/1C8-uQDf_PdE334QH0zI6mei-0bWashRI/view?usp=drive_web,Band,16,video_clean:id
single-leg-glute-bridge,Puente de glúteo a una pierna,catalog-json,high,1.000,female-Bodyweight-single-leg-glute-bridge-side.mp4,15u99F8h9mAS7ROHm3V8wehnRdGJkKIJw,https://drive.google.com/file/d/15u99F8h9mAS7ROHm3V8wehnRdGJkKIJw/view?usp=drive_web,Bodyweight,15,video_clean:id
single-leg-hip-thrust,Empuje de cadera a una pierna,catalog-json,high,1.000,female-Barbell-barbell-single-leg-hip-thrust-side.mp4,1htgY1G_lAJ1EQFzh0D8c5HppBaJhmQNp,https://drive.google.com/file/d/1htgY1G_lAJ1EQFzh0D8c5HppBaJhmQNp/view?usp=drive_web,Barbell,16,video_clean:id
snatch,Arranque,catalog-json,high,1.000,female-Barbell-barbell-snatch-side.mp4,1EHmbZGDn76Z3IR04G4NT4ph3CcJs6gt6,https://drive.google.com/file/d/1EHmbZGDn76Z3IR04G4NT4ph3CcJs6gt6/view?usp=drive_web,Barbell,8,video_clean:id
split-jerk,Envión en tijera,catalog-json,high,1.000,female-Barbell-barbell-split-jerk-side.mp4,1HK1e9991OJ1CkHeUey8JwF6AlPzljin0,https://drive.google.com/file/d/1HK1e9991OJ1CkHeUey8JwF6AlPzljin0/view?usp=drive_web,Barbell,4,video_clean:id
standing-calf-raise,Elevación de gemelos de pie,catalog-json,high,1.000,female-Vitruvian-standing-calf-raise-side.mp4,1b58NYHxjeXvUHoksY70j4KvLf3pFbTdz,https://drive.google.com/file/d/1b58NYHxjeXvUHoksY70j4KvLf3pFbTdz/view?usp=drive_web,Vitruvian,4,video_clean:id
step-up,Subida al cajón,catalog-json,high,1.000,female-barbell-step-up-side.mp4,1eY4YbUjGJf8xRVgB-n4lPs5ehhXmlzuw,https://drive.google.com/file/d/1eY4YbUjGJf8xRVgB-n4lPs5ehhXmlzuw/view?usp=drive_web,Barbell,16,video_clean:id
sumo-deadlift,Peso muerto sumo,catalog-json,high,1.000,female-Barbell-barbell-sumo-deadlift-side.mp4,1xXi8uQnGwGKuS5bCXbg6RUJs-Ge2T6tL,https://drive.google.com/file/d/1xXi8uQnGwGKuS5bCXbg6RUJs-Ge2T6tL/view?usp=drive_web,Barbell,10,video_clean:id
sumo-squat,Sentadilla sumo,catalog-json,high,1.000,female-dumbbell-sumo-squat-side.mp4,1kXfdkNDsV6qveqDRmZqYyY3uXkouH_k_,https://drive.google.com/file/d/1kXfdkNDsV6qveqDRmZqYyY3uXkouH_k_/view?usp=drive_web,Dumbbells,4,video_clean:id
superman,Superman,catalog-json,high,1.000,female-dumbbell-superman-side.mp4,19mefn-aQMd8StnP_siSLcmpk-iCFqzz1,https://drive.google.com/file/d/19mefn-aQMd8StnP_siSLcmpk-iCFqzz1/view?usp=drive_web,Dumbbells,12,video_clean:id
wall-ball,Wall ball (Lanzamiento a la pared),catalog-json,high,1.000,female-Medicine-Ball-wall-ball-side.mp4,1mU8FgSxh1_I8KXBLix2cFN1IeVBUcg71,https://drive.google.com/file/d/1mU8FgSxh1_I8KXBLix2cFN1IeVBUcg71/view?usp=drive_web,Medicine-Ball,4,video_clean:id
wall-sit,Sentadilla isométrica en la pared,catalog-json,high,1.000,female-Bodyweight-wall-sit-side.mp4,1PM7kMo33sybDuuDkOYiIu6t0uUXvu5Nv,https://drive.google.com/file/d/1PM7kMo33sybDuuDkOYiIu6t0uUXvu5Nv/view?usp=drive_web,Bodyweight,8,video_clean:id
zercher-squat,Sentadilla Zercher,catalog-json,high,1.000,female-barbell-zercher-squat-side.mp4,16BCYV50FXB50Hrlp1gFblwNVDpbrdFAc,https://drive.google.com/file/d/16BCYV50FXB50Hrlp1gFblwNVDpbrdFAc/view?usp=drive_web,Barbell,8,video_clean:id
